X In-Phase_x,X In-Phase_y,X Quadrature_x,X Quadrature_y,Y In-Phase_x,Y In-Phase_y,Y Quadrature_x,Y Quadrature_y,Z In-Phase_x,Z In-Phase_y,Z Quadrature_x,Z Quadrature_y
8.4358351231,1.1895847301,8.4358351231,0.0000681657,8.4358351231,2.4394198371,8.4358351231,-0.0000109193,8.4358351231,-1.3415048071,8.4358351231,0.0000419254
8.6251749992,1.1895779504,8.6251749992,0.0000964821,8.6251749992,2.4388366122,8.6251749992,0.0000304350,8.6251749992,-1.3414706159,8.6251749992,0.0000323139
8.8204569817,1.1895840271,8.8204569817,0.0000544521,8.8204569817,2.4393661614,8.8204569817,-0.0001174667,8.8204569817,-1.3414803756,8.8204569817,0.0000234554
9.0268390179,1.1913962903,9.0268390179,0.0226249083,9.0268390179,2.438311908,9.0268390179,0.0449655473,9.0268390179,-1.3353379560,9.0268390179,0.0205518581
9.2149000168,1.1914118251,9.2149000168,0.0226565981,9.2149000168,2.4383281858,9.2149000168,0.0449886925,9.2149000168,-1.335338191,9.2149000168,0.0205891296
9.4088261127,1.1914241422,9.4088261127,0.0226022536,9.4088261127,2.437847465,9.4088261127,0.0449750992,9.4088261127,-1.3353646638,9.4088261127,0.0205054402
9.6034939289,1.1913990991,9.6034939289,0.0226885008,9.6034939289,2.4383119046,9.6034939289,0.0450427181,9.6034939289,-1.3353406659,9.6034939289,0.0205976154
9.7938370705,1.1913849893,9.7938370705,0.0226318093,9.7938370705,2.4382567090,9.7938370705,0.0449605922,9.7938370705,-1.3353257344,9.7938370705,0.0205344708
9.9848549366,1.1913619687,9.9848549366,0.0226234605,9.9848549366,2.4379543060,9.9848549366,0.045009377,9.9848549366,-1.3352840054,9.9848549366,0.0205229832
10.1781690121,1.1913950709,10.1781690121,0.0226178766,10.1781690121,2.4383233868,10.1781690121,0.0449169276,10.1781690121,-1.3352902692,10.1781690121,0.0205312428
10.3660480976,1.1913784802,10.3660480976,0.0225829472,10.3660480976,2.4379235381,10.3660480976,0.0449395459,10.3660480976,-1.3353078523,10.3660480976,0.0204736048
10.5566360950,1.1913896415,10.5566360950,0.0226666278,10.5566360950,2.4383164207,10.5566360950,0.0450041066,10.5566360950,-1.3352977926,10.5566360950,0.0205849436
10.7533221245,1.1914075650,10.7533221245,0.022610142,10.7533221245,2.4379446245,10.7533221245,0.0449680601,10.7533221245,-1.3353156132,10.7533221245,0.0204964476
10.9444830418,1.1913883299,10.9444830418,0.0225931824,10.9444830418,2.4380477629,10.9444830418,0.0449221568,10.9444830418,-1.3353206779,10.9444830418,0.0205067247
11.1343259811,1.1914199320,11.1343259811,0.022632113,11.1343259811,2.4383547707,11.1343259811,0.0449634781,11.1343259811,-1.3353241943,11.1343259811,0.020539394
11.3248319626,1.1914023477,11.3248319626,0.0226093836,11.3248319626,2.4378462733,11.3248319626,0.0449541005,11.3248319626,-1.3353441309,11.3248319626,0.0204803406
11.517521143,1.1913929977,11.517521143,0.0225583868,11.517521143,2.4383553779,11.517521143,0.0448414768,11.517521143,-1.3353228949,11.517521143,0.0204962812
11.7035861015,1.1913804606,11.7035861015,0.0225241765,11.7035861015,2.4380245056,11.7035861015,0.0448656289,11.7035861015,-1.3353074615,11.7035861015,0.0204794212
11.9005429745,1.1914125235,11.9005429745,0.0225494327,11.9005429745,2.4383438269,11.9005429745,0.0448598086,11.9005429745,-1.3353239880,11.9005429745,0.0205344409
12.0896260738,1.1916156285,12.0896260738,0.0000644817,12.0896260738,2.4386139501,12.0896260738,0.0001260706,12.0896260738,-1.3354587838,12.0896260738,0.0000485748
12.2865829468,1.1916120723,12.2865829468,0.0000489987,12.2865829468,2.4384028489,12.2865829468,0.0001310653,12.2865829468,-1.335454217,12.2865829468,-0.0000032507
12.4743289948,1.1916044924,12.4743289948,0.0001088618,12.4743289948,2.438700217,12.4743289948,0.000186445,12.4743289948,-1.3354430302,12.4743289948,0.0000677604
12.6705129147,1.1915949803,12.6705129147,0.0000432148,12.6705129147,2.4383207072,12.6705129147,0.000136808,12.6705129147,-1.3354481068,12.6705129147,-0.0000050081
12.8584649563,1.1916054687,12.8584649563,0.0001018889,12.8584649563,2.4386345598,12.8584649563,0.0001696133,12.8584649563,-1.3354378199,12.8584649563,0.0000508669
13.0493419170,1.1916027653,13.0493419170,0.0000680766,13.0493419170,2.4383764973,13.0493419170,0.0001136769,13.0493419170,-1.3354638491,13.0493419170,-0.0000177893
13.2438049316,1.1916049252,13.2438049316,0.0000992606,13.2438049316,2.4386024896,13.2438049316,0.0001754684,13.2438049316,-1.3354797457,13.2438049316,0.0000474471
13.4342560768,1.1915921608,13.4342560768,0.0000961608,13.4342560768,2.4386454668,13.4342560768,0.0001889150,13.4342560768,-1.3354634237,13.4342560768,0.0000587718
13.6272461414,1.1915946893,13.6272461414,0.0000432105,13.6272461414,2.4381407094,13.6272461414,0.0001836833,13.6272461414,-1.3354661728,13.6272461414,-0.0000148741
13.8136370182,1.1916089144,13.8136370182,0.0001051423,13.8136370182,2.4386780702,13.8136370182,0.0002252764,13.8136370182,-1.3354997918,13.8136370182,0.0000704799
14.0117759705,1.1915995344,14.0117759705,0.0000502694,14.0117759705,2.4381921845,14.0117759705,0.0001541129,14.0117759705,-1.3354783841,14.0117759705,-0.0000061194
14.1976759434,1.1916013636,14.1976759434,0.0001038663,14.1976759434,2.4385937334,14.1976759434,0.0002144077,14.1976759434,-1.3354837998,14.1976759434,0.0000596808
14.3895409107,1.1916031928,14.3895409107,0.0000785640,14.3895409107,2.4383519891,14.3895409107,0.0001926637,14.3895409107,-1.3354797860,14.3895409107,0.0000244496
14.5863721371,1.1916067899,14.5863721371,0.0000518322,14.5863721371,2.4382377722,14.5863721371,0.000168745,14.5863721371,-1.3354990278,14.5863721371,0.0000081812
14.7736530304,1.1915935099,14.7736530304,0.0000836616,14.7736530304,2.4385925333,14.7736530304,0.0001465674,14.7736530304,-1.3354750726,14.7736530304,0.0000561722
14.970042944,1.1915844156,14.970042944,0.0000488816,14.970042944,2.4381083525,14.970042944,0.0001528551,14.970042944,-1.3354905846,14.970042944,0.0000087486
15.1547560692,1.1915971607,15.1547560692,0.0000927409,15.1547560692,2.4385495259,15.1547560692,0.0001730038,15.1547560692,-1.3354741636,15.1547560692,0.0000765483
15.3528101444,1.1915846905,15.3528101444,0.0001091518,15.3528101444,2.4381853652,15.3528101444,0.0002055859,15.3528101444,-1.3354302674,15.3528101444,0.0000415382
