frequency_hz,n_samples,timestamp,adc1_ch1_mean,adc1_ch1_std,adc1_ch1_rms,adc1_ch2_mean,adc1_ch2_std,adc1_ch2_rms,adc1_ch3_mean,adc1_ch3_std,adc1_ch3_rms,adc1_ch4_mean,adc1_ch4_std,adc1_ch4_rms,adc2_ch1_mean,adc2_ch1_std,adc2_ch1_rms,adc2_ch2_mean,adc2_ch2_std,adc2_ch2_rms,adc2_ch3_mean,adc2_ch3_std,adc2_ch3_rms,adc2_ch4_mean,adc2_ch4_std,adc2_ch4_rms
689.8066757065405,2,2025-07-30T09:41:36.327146,-163347.00,80.00,163347.02,161953.50,90.50,161953.53,-113586.50,155.50,113586.61,113034.50,158.50,113034.61,-252317.50,111.50,252317.52,258953.50,87.50,258953.51,-875425.00,19.00,875425.00,-875668.00,1.00,875668.00,
806.9161496817962,2,2025-07-30T09:41:37.154997,-163111.00,388.00,163111.46,161723.00,395.00,161723.48,-113048.50,340.50,113049.01,112488.00,333.00,112488.49,-252122.00,1045.00,252124.17,258752.50,1004.50,258754.45,-875391.00,19.00,875391.00,-875691.50,5.50,875691.50,
943.9074679153925,2,2025-07-30T09:41:37.970558,-163271.50,396.50,163271.98,161875.00,398.00,161875.49,-113186.50,271.50,113186.83,112629.00,273.00,112629.33,-252237.00,1272.00,252240.21,258864.50,1264.50,258867.59,-875380.00,8.00,875380.00,-875664.50,2.50,875664.50,
1104.1559997749387,2,2025-07-30T09:41:38.787271,-163556.00,410.00,163556.51,162170.00,418.00,162170.54,-113637.00,420.00,113637.78,113088.00,412.00,113088.75,-252667.50,1165.50,252670.19,259304.00,1127.00,259306.45,-875398.50,12.50,875398.50,-875685.00,15.00,875685.00,
1291.6101559525684,2,2025-07-30T09:41:39.617636,-163459.00,581.00,163460.03,162066.50,589.50,162067.57,-113591.00,399.00,113591.70,113033.50,400.50,113034.21,-252577.50,1640.50,252582.83,259207.50,1603.50,259212.46,-875401.50,3.50,875401.50,-875603.00,10.00,875603.00,
1510.8886745168809,2,2025-07-30T09:41:40.434661,-163453.50,334.50,163453.84,162037.50,314.50,162037.81,-113666.50,292.50,113666.88,113090.00,271.00,113090.32,-252923.50,771.50,252924.68,259546.00,729.00,259547.02,-875369.50,20.50,875369.50,-875640.50,36.50,875640.50,
1767.3944233581942,2,2025-07-30T09:41:41.252812,-163673.00,66.00,163673.01,162270.50,109.50,162270.54,-113896.50,23.50,113896.50,113326.00,15.00,113326.00,-253158.50,477.50,253158.95,259756.50,503.50,259756.99,-875399.00,7.00,875399.00,-875665.50,15.50,875665.50,
2067.447523039027,2,2025-07-30T09:41:42.087806,-163225.00,529.00,163225.86,161782.50,529.50,161783.37,-113042.00,421.00,113042.78,112440.00,419.00,112440.78,-252366.00,1504.00,252370.48,258965.50,1467.50,258969.66,-875396.50,3.50,875396.50,-875699.50,9.50,875699.50,
2418.441070102854,2,2025-07-30T09:41:42.905516,-161674.00,426.00,161674.56,160239.00,431.00,160239.58,-112254.00,352.00,112254.55,111650.50,349.50,111651.05,-250715.50,1082.50,250717.84,257320.50,1050.50,257322.64,-875391.00,10.00,875391.00,-875725.50,3.50,875725.50,
2829.023297753531,2,2025-07-30T09:41:43.721888,-161526.50,51.50,161526.51,160103.50,47.50,160103.51,-112154.50,132.50,112154.58,111554.00,120.00,111554.06,-250716.50,52.50,250716.51,257323.00,72.00,257323.01,-875366.00,9.00,875366.00,-875662.00,42.00,875662.00,
